Year  Month Date  Total  Numbered MultiOpp SingleOpp  Named
2015 JULY  2     688321  439830  130512  117979        19402
2015 JUNE  2     685732  437832  130290  117610        19275
2015 APR   4     681212  433937  130313  116962        19135
2015 MAR   5     678789  430405  131415  116969        19112
2015 FEB   3     676205  427393  131661  117151        19076
2015 JAN   5     670444  422636  133008  114800        19044
2014 NOV   6     664036  415688  133306  115042        18977
2014 OCT   8     658859  412975  131261  114623        18908
2014 SEPT  9     655500  408750  131293  115457        18836
2014 AUG  10     650443  404944  130641  114858        18761
2014 JULY 12     645148  401810  131106  112232        18702
2014 JUNE 13     644632  399306  132273  113053        18559
2014 MAY  14     642348  396539  132705  113104        18541
2014 APR  15     639091  393347  134179  111565        18504
2014 MAR  16     636415  390514  131332  114569        18301
2014 FEB  14     634504  387487  133400  113617        18273
2014 JAN  16     632567  385184  130254  117129        18241
2013 DEC  17     627950  382394  128216  117340        18162
2013 NOV  17     627546  380114  129389  118043        18155
2013 OCT  18     625629  376705  131042  117882        18106
2013 SEPT 19     622814  373392  132681  116741        18075
2013 AUG  21     620935  369956  132560  118419        17972
2013 JULY 22     620284  368149  133667  118468        17947
2013 JUNE 23     619845  366341  134798  118706        17837
2013 APR  25     612911  363009  131868  118034        17812
2013 MAR  27     611198  360190  134102  116906        17766
2013 FEB  25     606575  356969  132036  117570        17766
2013 JAN  27     604344  353926  133090  117328        17698
2012 DEC  28     600853  350441  134875  115537        17620
2012 NOV  28     598461  347481  135145  115835        17573
2012 OCT  29     595530  344055  133077  118398        17573
2012 AUG  31     588814  337008  136628  115178        17355
2012 AUG   2     587172  333841  139030  114301        17300
2012 JULY  3     587088  333273  138441  115374        17301
2012 JUNE  4     586534  331470  138354  116710        17224
2012 MAY   6     584686  329243  138053  117390        17224
2012 APR   6     583767  326266  137564  119937        17055
2012 MAR   8     582389  322611  139819  119959        16933
2012 FEB   7     579619  316649  144068  118902        16933
2012 JAN   9     574701  312935  146224  115542        16864
2011 DEC  10     573294  310376  146724  116194        16863
2011 NOV  10     570041  306374  146641  117026        16714
2011 OCT  12     565877  301841  148331  115705        16714
2011 SEPT 12     562469  297233  150608  114628        16660
2011 AUG  13     560021  285078  161291  113652        16660
2011 JULY 15     555349  283317  159278  112754        16660
2011 JUNE 15     553969  282027  159645  112297        16608
2011 MAY  17     551851  279722  159752  112377        16528
2011 MAY  17     551851  279722  159752  112377        16528
2011 APR  18     550124  275490  159902  114732        16453
2011 MAR  19     547187  269644  162894  114649        16453
2011 FEB  18     545281  267002  163357  114922        16271
2011 JAN  19     542868  264258  164556  114054        16216
2010 NOV  28     540573  257455  167954  115164        16216
2010 SEPT 23     535789  251651  169241  114897        16154
2010 AUG  24     535100  249567  166659  118874        16065
2010 JULY 26     528865  246869  166437  115559        16065
2010 JUNE 26     523459  243553  168187  111719        15974
2010 APR  28     509758  239797  167047  102914        15885
2010 MAR  30     505606  237360  167821  100425        15771
2010 FEB  28     502591  233968  169786   98837        15680
2010 JAN  30     482419  231665  167253   83501        15615
2009 DEC  31     477010  229914  162042   85054        15524
2009 DEC   2     473217  228203  160836   84178        15524
2009 NOV   2     466538  225276  159473   81789        15441
2009 OCT   4     463152  221945  160225   80982        15441
2009 SEPT  4     460271  219018  161322   79931        15361
2009 AUG   6     459235  217627  160635   80973        15361
2009 JULY  7     457541  216916  160118   80507        15272
2009 JUNE  7     456647  216463  159533   80651        15272
2009 MAY   9     453491  215098  158561   79832        15190
2009 APR   9     450935  212999  158262   79674        15190
2009 MAR  11     444080  210454  155183   78443        15118
2009 FEB   9     440422  207942  154144   78336        15056
2009 JAN  11     439115  204962  155927   78226        14971
2008 DEC  12     436598  202885  153021   80692        14920
2008 NOV  13     434524  200083  152848   81593        14869
2008 SEPT 17     423292  192280  154152   76860        14807
2008 AUG  19     421373  190281  154242   76850        14698
2008 JULY 18     414507  189407  150763   74337        14621
2008 JUNE 18     410737  189005  149517   72215        14574
2008 MAY  20     407295  187745  148217   71333        14525
2008 APR  20     406193  185655  148923   71615        14438
2008 MAR  21     403356  181699  149648   72009        14438
2008 FEB  21     400146  178283  149201   72662        14366
2008 JAN  22     397410  175658  149698   72054        14299
2007 DEC  24     395305  173116  149040   73149        14226
2007 NOV  24     393298  171475  147681   74142        14226
2007 OCT  26     387205  168313  146764   72128        14148
2007 SEPT 26     385083  164612  146913   73558        14077
2007 AUG  28     381057  161988  147332   71737        13997
2007 JULY 30     378546  160508  147263   70775        13889
2007 JUNE 30     377328  160015  146263   71050        13805
2007 JUNE  1     376537  159366  146110   71061        13805
2007 MAY   2     374256  157788  145158   71310        13722
2007 APR   2     371670  155368  145060   71242        13722
2007 MAR   3     368650  152554  145534   70562        13627
2007 FEB   2     366291  150106  146007   70178        13554
2007 JAN   6     364833  147951  143939   72943        13554
2006 DEC   5     362447  145705  142897   73845        13479
2006 NOV   9     341328  136563  137338   67427        13479
2006 OCT   9     341328  136563  137338   67427        13422
2006 SEPT  7     341329  136563  137339   67427        13350
2006 AUG   9     338097  134339  134872   68886        13349
2006 JULY 11     338097  134339  134872   68886        13242
2006 JUNE 13     329777  129436  129453   70888        13141
2006 MAY  15     329777  129436  129453   70888        13040
2006 APR  13     329777  129436  129453   70888        13040
2006 MAR  14     329777  129436  129453   70888        12953
2006 FEB  19     305224  120437  117645   67142        12890
2005 DEC  15     305224  120437  117645   67142        12779
2005 NOV  16     305224  120437  117645   67142        12712
2005 OCT  19     299733  118161  114349   67223        12712
2005 SEPT 18     286317   99947  121433   64937        12639
2005 AUG  22     286317   99947  121433   64937        12558
2005 JULY 21     286317   99947  121433   64937        12449
2005 JUNE 22     286318   99947  121434   64937        12345
2005 MAY  23     277090   99906  108708   68476        12345
2005 APR   7     277090   99906  108708   68476        12268
2005 FEB  24     277090   99906  108708   68476        12198
2005 JAN  25     264447   96154  103053   65240        12065
2004 DEC  26     264447   96154  103053   65240        12065
2004 NOV  26     264447   96154  103053   65240        11963
